data_type,field_pt,date,year,month,day,locality,site,bar,org_stn,station,transect,tran_length,easting,northing,elev_m,pt_type,collector,el_type,gear,location
ELEVATION,BTI5-1-7,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,17.5,297867.666,3239042.074,-0.688,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-8,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,20,297867.22,3239039.581,-0.85,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-1-9,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,1,21.75,297866.756,3239037.732,-0.93,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-0,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,0,297850.223,3239052.021,-0.383,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-1,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,2.5,297852.787,3239051.822,-0.419,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-2,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,5,297855.259,3239051.693,-0.486,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-3,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,7.5,297857.764,3239051.533,-0.485,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-4,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,10,297860.31,3239051.504,-0.5,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-5,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,12.5,297862.786,3239051.307,-0.552,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-6,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,15,297865.217,3239051.104,-0.41,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-7,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,17.5,297867.728,3239050.826,-0.426,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-8,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,20,297870.181,3239050.523,-0.516,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-9,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,22.5,297872.688,3239050.365,-0.516,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-10,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,25,297875.177,3239050.185,-0.459,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-11,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,27.5,297877.669,3239050.025,-0.468,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-12,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,30,297880.168,3239049.873,-0.408,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-13,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,32.5,297882.662,3239049.711,-0.391,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-14,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,35,297885.168,3239049.581,-0.579,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-15,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,37.5,297887.653,3239049.417,-0.648,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-16,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,40,297890.154,3239049.234,-0.766,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI5-2-17,1/8/2019,2019,1,8,BT,I,5,N_A,BTI5,2,40.94,297891.27,3239049.12,-0.851,TRAN_END,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP1,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298128.822,3235650.883,-0.162,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP2,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298751.345,3235727.804,-0.003,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP3,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298325.42,3236012.637,0.187,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP4,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298808.109,3236196.943,-0.104,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LCGCP5,10/25/2018,2018,10,25,LC,I,-999,N_A,N_A,-999,-999,298556.572,3235769.346,0.003,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LTGCP1,10/24/2018,2018,10,24,LT,I,-999,N_A,N_A,-999,-999,298264.873,3238465.89,-0.091,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,LTGCP2,1/24/2019,2019,1,24,LT,I,-999,N_A,N_A,-999,-999,298500.788,3238699.353,-0.134,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
